Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
QUAD,2.56,2020/04/17,16:02 EDT,0.029999971,2.64,2.86,2.54,384395,20200417,2.66,1100.0,,,,
GCI,0.9046,2020/04/17,16:02 EDT,0.024600029,0.945,0.98,0.8901,2239537,20200414,1.0188,3000.0,,,,
TWO,4.46,2020/04/17,16:02 EDT,0.55999994,4.19,4.49,3.98,11120673,20200413,4.48,700.0,,,,
NYMT,2.1,2020/04/17,16:00 EDT,0.19999993,2.06,2.15,1.97,12971708,20200409,2.3681,1200.0,,,,
HAPP,3.05,2020/04/17,16:00 EDT,-0.08000016,3.17,3.17,3.0,605244,20200409,2.879,1000.0,,,,
OPK,1.7,2020/04/17,16:00 EDT,0.0200001,1.68,1.71,1.58,9491558,20200409,1.3867,2100.0,,,,
PBI,2.15,2020/04/17,16:02 EDT,0.1500001,2.06,2.18,2.02,2840291,20200409,2.2741,1300.0,,,,
IBIO,0.9068,2020/04/17,16:00 EDT,-0.037700057,0.92,0.93,0.875,4706957,20200409,0.965,3100.0,,,,
SIFY,0.79,2020/04/17,16:00 EDT,0.0097,0.8,0.8,0.7811,16406,20200408,0.758,4000.0,,,,
OSG,2.39,2020/04/17,16:02 EDT,0.09000015,2.25,2.43,2.25,201805,20200408,2.208,1400.0,,,,
SMSI,4.92,2020/04/17,16:00 EDT,-0.07999992,5.19,5.19,4.92,579410,20200408,4.1989,700.0,,,,
NIO,3.21,2020/04/17,16:02 EDT,-0.03999996,3.36,3.36,3.15,21989013,20200408,2.74,1000.0,,,,
MBRX,1.2,2020/04/17,16:00 EDT,-0.26999998,1.4,1.26,1.11,8744038,20200408,1.509,2000.0,,,,
DPW,1.13,2020/04/17,16:00 EDT,-0.01999998,1.16,1.16,1.11,170461,20200408,1.24,2500.0,,,,
IAG,3.1,2020/04/17,16:02 EDT,-0.00999999,3.04,3.1499,2.9,10353001,20200407,2.596,1100.0,,,,
PLUG,4.52,2020/04/17,16:00 EDT,0.03000021,4.69,4.745,4.35,12209108,20200407,3.706,800.0,,,,
DGLY,0.92,2020/04/17,16:00 EDT,0.0,0.94,0.9845,0.9001,161208,20200407,0.7497,4000.0,,,,
RRTS,1.93,2020/04/16,16:02 EDT,0.0,2.28,2.39,1.89,554620,20200407,2.29,1300.0,,,,
HMHC,1.13,2020/04/17,16:00 EDT,-0.029999971,1.24,1.2504,1.11,1344435,20200406,1.3799,2100.0,,,,
ETM,1.01,2020/04/17,16:02 EDT,0.05070001,1.09,1.09,0.96,1451918,20200406,0.8293,3600.0,,,,
GMLP,2.3,2020/04/17,16:00 EDT,0.15999985,2.17,2.3,2.11,410452,20200402,1.3787,2200.0,,,,
EXK,1.54,2020/04/17,16:02 EDT,-0.04000008,1.52,1.6,1.51,1597285,20200401,1.2379,2500.0,,,,
AMRN,6.51,2020/04/17,16:00 EDT,0.37000036,6.25,6.575,6.12,13134528,20200331,4.0493,740.0,,,,
HHS,1.9,2020/04/17,15:57 EDT,0.0,2.1,2.1,1.9,2935,20200331,1.56,2000.0,,,,
INWK,1.4,2020/04/17,16:00 EDT,0.0,1.42,1.46,1.3673,97119,20200331,1.035,2900.0,,,,
FLNT,1.61,2020/04/17,16:00 EDT,0.110000014,1.5,1.635,1.48,203328,20200331,1.2585,2400.0,,,,
RFP,1.62,2020/04/17,16:02 EDT,0.24000001,1.53,1.63,1.47,199268,20200330,1.3186,2300.0,,,,
WPG,0.76,2020/04/17,16:02 EDT,0.009800017,0.7585,0.8215,0.745,4637070,20200330,0.8701,3400.0,,,,
MFA,1.78,2020/04/17,16:02 EDT,0.22000003,1.72,1.84,1.61,52372875,20200330,1.5485,2000.0,,,,
MBII,0.6928,2020/04/17,16:00 EDT,0.0661,0.6315,0.7898,0.63,522034,20200330,0.822,3500.0,,,,
VOLT,0.7101,2020/04/17,15:52 EDT,-0.0259,0.7464,0.73,0.7,74051,20200327,0.76,20.0,,,,
GEN,0.8508,2020/04/17,16:02 EDT,0.031099975,0.8314,0.8745,0.8201,216157,20200327,0.8,3800.0,,,,
KOS,0.95,2020/04/17,16:02 EDT,0.07440001,0.8836,0.95,0.87,10654397,20200327,0.89,3300.0,,,,
IPI,0.9613,2020/04/17,16:02 EDT,0.13069999,0.86,0.975,0.8452,1004571,20200327,0.76,4000.0,,,,
LYG,1.48,2020/04/17,16:02 EDT,0.07000005,1.46,1.49,1.44,8452637,20200327,1.6683,1800.0,,,,
LYG,1.48,2020/04/17,16:02 EDT,0.07000005,1.46,1.49,1.44,8452637,20200402,1.386,1400.0,,,,
CX,2.17,2020/04/17,16:02 EDT,0.19000006,2.07,2.195,2.005,11145201,20200327,1.8763,1600.0,,,,
VEON,1.62,2020/04/17,16:00 EDT,0.0,1.68,1.68,1.58,3637491,20200327,1.45,2000.0,,,,
CSLT,0.6495,2020/04/17,16:02 EDT,-4.9996376E-4,0.65,0.68,0.63,311386,20200327,0.7898,3800.0,,,,
ABUS,1.19,2020/04/17,16:00 EDT,-0.00999999,1.21,1.25,1.16,430664,20200327,1.28,2300.0,,,,
CTEK,1.89,2020/04/17,16:00 EDT,0.22000003,1.75,1.89,1.6645,14601,20200326,1.24,2100.0,,,,
CNDT,2.23,2020/04/17,16:00 EDT,0.21000004,2.11,2.26,2.06,1240230,20200326,1.98,1500.0,,,,
HTBX,0.6,2020/04/17,16:00 EDT,-0.02789998,0.61,0.6249,0.57,4520638,20200326,0.56,5300.0,,,,
JT,0.6801,2020/04/17,15:59 EDT,-0.049899995,0.7053,0.74,0.65,187868,20200326,0.86,3500.0,,,,
SGLB,2.38,2020/04/17,16:00 EDT,0.120000124,2.25,2.52,2.14,517643,20200326,2.54,1200.0,,,,
NGD,0.6894,2020/04/17,16:00 EDT,-0.018099964,0.69,0.7475,0.6501,14968539,20200326,0.63,4700.0,,,,
HYRE,1.51,2020/04/17,16:00 EDT,0.08000004,1.43,1.6,1.43,139895,20200326,1.76,1700.0,,,,
OAS,0.2765,2020/04/17,16:00 EDT,0.006499976,0.28,0.2999,0.25,24443874,20200326,0.345,8800.0,,,,
TNXP,0.74,2020/04/17,16:00 EDT,-0.013899982,0.74,0.7535,0.7301,1266144,20200325,0.8,3700.0,,,,
RESN,1.7,2020/04/17,16:00 EDT,-0.07999992,1.88,1.9,1.66,888053,20200325,1.26,100.0,,,,
IMMP,0.9351,2020/04/17,15:58 EDT,0.015100002,1.01,1.01,0.9,251130,20200325,0.7,4200.0,,,,
ARLO,2.19,2020/04/17,16:02 EDT,0.07000017,2.2,2.284,2.1,774169,20200324,1.8,1700.0,,,,
GSAT,0.2997,2020/04/17,16:00 EDT,0.011299998,0.3,0.3001,0.2933,1021829,20200324,0.3,10000.0,,,,
AKRX,0.267,2020/04/17,16:00 EDT,0.072,0.195,0.4897,0.195,119886282,20200323,0.46,6500.0,,,,
AKRX,0.267,2020/04/17,16:00 EDT,0.072,0.195,0.4897,0.195,119886282,20200401,0.3,6500.0,,,,
CCO,0.77,2020/04/17,16:02 EDT,0.043899953,0.76,0.8,0.7331,3676679,20200323,0.48,6000.0,,,,
CDEV,0.2895,2020/04/17,16:00 EDT,0.017499983,0.2764,0.29,0.27,10111713,20200320,0.56,5000.0,,,,
ACB,0.69,2020/04/17,16:02 EDT,0.021399975,0.685,0.745,0.6841,32263761,20200320,0.9,3000.0,,,,
JE,0.46,2020/04/17,16:02 EDT,0.031700015,0.46,0.46,0.4326,352161,20200320,0.56,5000.0,,,,
I,1.36,2020/04/17,16:02 EDT,0.14999998,1.3,1.39,1.22,8508490,20200320,2.08,1500.0,,,,
I,1.36,2020/04/17,16:02 EDT,0.14999998,1.3,1.39,1.22,8508490,20200401,1.305,1500.0,,,,
GRPN,0.9341,2020/04/17,16:00 EDT,0.07409996,0.897,0.935,0.8897,14124367,20200320,0.75,4000.0,,,,
MEIP,2.42,2020/04/17,16:00 EDT,0.10000014,2.4,2.475,2.28,2470703,20200320,0.99,3000.0,,,,
AGEN,2.69,2020/04/17,16:00 EDT,0.08000016,2.68,2.78,2.63,1686539,20200320,2.06,1500.0,,,,
TXMD,0.9543,2020/04/17,16:00 EDT,0.019299984,0.9684,0.98,0.9126,2485309,20200320,1.06,3000.0,,,,
SABR,5.995,2020/04/17,16:00 EDT,0.2249999,6.17,6.25,5.91,9438105,20200320,3.88,1000.0,,,,
MIK,2.42,2020/04/17,16:00 EDT,0.19000006,2.6,2.65,2.275,3809033,20200320,1.58,2000.0,,,,
CLVS,8.16,2020/04/17,16:00 EDT,0.7999997,7.53,8.215,7.45,7430727,20200320,4.44,1000.0,,,,
